method,origins_attempted,origins_successful,origins_failed,MSE,MAE,RMSFE,MAFE,win_count_mse,win_count_mae,fit_seconds_total,predict_seconds_total,fit_seconds_mean,predict_seconds_mean
SARMA_LS,60,60,0,0.722345601376677,0.5460439288559409,0.9219051862462128,3.276263573135645,21,21,29.310053921828512,0.022270497342105955,0.48850089869714186,0.00037117495570176593
SARMA_MLE,60,60,0,0.7177878899436231,0.544307850610476,0.9204475195917261,3.265847103662856,10,11,29.310053921828512,0.01601996412500739,0.48850089869714186,0.0002669994020834565
VAR_LS,60,60,0,0.7741549853952525,0.562167772896509,0.9380089424643908,3.3730066373790537,29,28,0.05666712491074577,0.0008626659982837737,0.0009444520818457628,1.4377766638062894e-05
