method,origin,train_end,target_index,status,error_message,fit_seconds,predict_seconds,mse_t,mae_t,sarma_branch_actual,sarma_initial_lmbd,sarma_initial_eta,sarma_profile_loss,sarma_profile_candidate_index,sarma_profile_candidate_count,sarma_final_lmbd,sarma_final_eta,sarma_loss,sarma_iter_no,sarma_converged,sarma_theta_diff,sarma_loss_diff
SARMA_LS,35,772,35,ok,,0.45650774997193366,0.0003059580340050161,0.20114264551740635,0.34659404705639285,MLE,[0.85],[],3.2338180108332626,12.0,12.0,[0.8301315653073047],[],3.2328873362670403,21.0,True,3.918033980587765e-07,1.5302581726164203e-13
SARMA_MLE,35,772,35,ok,,0.45650774997193366,0.00027183303609490395,0.21609007527953195,0.3505207140308411,LS,[0.85],[],3.2338180108332626,12.0,12.0,[0.800010980048487],[],4.914786961029862,22.0,True,2.1818248794325257e-06,3.248614318659848e-11
SARMA_LS,36,773,36,ok,,0.5720957919838838,0.00029620801797136664,0.03579318328148973,0.1371609990919043,MLE,[0.85],[],3.235189342607867,12.0,12.0,[0.8297923178815286],[],3.234227984464868,21.0,True,7.292950332526971e-08,2.6541857325602355e-13
SARMA_MLE,36,773,36,ok,,0.5720957919838838,0.00026041700039058924,0.0394880828422432,0.147552911744993,LS,[0.85],[],3.235189342607867,12.0,12.0,[0.7996548348321856],[],4.914751081318539,22.0,True,1.9175873533505694e-06,2.525662282114811e-11
SARMA_LS,37,774,37,ok,,0.4511318340082653,0.00031045899959281087,0.3040109175985724,0.4325944627049065,MLE,[0.85],[],3.2316098242456577,12.0,12.0,[0.8301580434301071],[],3.230670485774007,21.0,True,9.372640097371487e-08,2.5471401517471403e-13
SARMA_MLE,37,774,37,ok,,0.4511318340082653,0.0002651250106282532,0.29866729388308105,0.42154222564817284,LS,[0.85],[],3.2316098242456577,12.0,12.0,[0.8004894792374208],[],4.912355970804617,22.0,True,2.0104409147458924e-06,2.813342985887169e-11
SARMA_LS,38,775,38,ok,,0.47979037498589605,0.0003060000017285347,0.20539975398752366,0.4295436813859401,MLE,[0.85],[],3.232241028957967,12.0,12.0,[0.8298701583564327],[],3.231265907105426,21.0,True,0.0,0.0
SARMA_MLE,38,775,38,ok,,0.47979037498589605,0.00026045902632176876,0.18310133243870833,0.40125949077696926,LS,[0.85],[],3.232241028957967,12.0,12.0,[0.8005188226073564],[],4.912876095988045,22.0,True,2.1774468893509535e-06,3.308145131760197e-11
SARMA_LS,39,776,39,ok,,0.4968901249812916,0.0003030000370927155,0.06535123820533531,0.22305819224740753,MLE,[0.85],[],3.2281426589957043,12.0,12.0,[0.8289257337075957],[],3.227069148882849,21.0,True,1.1050380666066673e-07,2.616037300016546e-13
SARMA_MLE,39,776,39,ok,,0.4968901249812916,0.00027708400739356875,0.06083979023378679,0.2135942346602133,LS,[0.85],[],3.2281426589957043,12.0,12.0,[0.7987720513727582],[],4.910215399060034,22.0,True,2.0714706453484055e-06,2.970889189535499e-11
SARMA_LS,40,777,40,ok,,0.5762249590479769,0.0003012089873664081,0.3831775643426871,0.4739353124389137,MLE,[0.85],[],3.2278732852543315,12.0,12.0,[0.8283771626853467],[],3.226741567313393,21.0,True,7.183620365225352e-08,2.588777339071255e-13
SARMA_MLE,40,777,40,ok,,0.5762249590479769,0.00026229198556393385,0.3980755575728403,0.4834958691620803,LS,[0.85],[],3.2278732852543315,12.0,12.0,[0.7978616467892515],[],4.909059482516238,22.0,True,1.670909746454008e-06,1.9168604535492022e-11
SARMA_LS,41,778,41,ok,,0.5493929170188494,0.00029920897213742137,0.5421134795327472,0.5619009112512302,MLE,[0.85],[],3.2295043544515107,12.0,12.0,[0.8307638419709577],[],3.2286209366818714,21.0,True,7.119707401415099e-08,2.5405042357973604e-13
SARMA_MLE,41,778,41,ok,,0.5493929170188494,0.00026650005020201206,0.531878496496182,0.5574117227578925,LS,[0.85],[],3.2295043544515107,12.0,12.0,[0.7991990087995595],[],4.909359985098303,22.0,True,1.350015392920234e-06,1.269591072428271e-11
