dist,a,lambda_0.2,lambda_0.4,lambda_0.6,lambda_0.8,gamma_0.2,gamma_0.4,gamma_0.6,gamma_0.8
Normal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Normal,0.6,0.9906935384900312,0.9907163746917252,0.9906707734425962,0.9906522153593234,0.9825197682882504,0.9821024431843252,0.9814555390090168,0.9809040349617104
Normal,0.9,0.9739527270909208,0.9738412026329764,0.9731636842876532,0.9731313258516208,0.9620306878314424,0.9581247568455552,0.9553544340521648,0.9540504664327912
$t_5$,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
$t_5$,0.6,0.9906963019305352,0.990723903112634,0.9906743463486566,0.9906526659295364,0.9825471208720622,0.9821659891418374,0.9815216835065012,0.98093560567041
$t_5$,0.9,0.9739262657230005,0.9738151321658826,0.973164340342358,0.9731321619254132,0.9620802025185404,0.9581102828148876,0.9553550665773288,0.9540683803273812
