"","FM1","FM2","FMRNBA","FMRRA","FYFF","FYGT10","CPIAUCSL","GDP273","PSCCOMR","PWFSA","CES002","LHUR","CES275R","GDP251","GDP252","IPS10","UTL11","HSFR","EXRUS","FSPIN"
"8\1\1959",-0.157226864912851,-0.205540642903408,0.178151143450932,0.462372802414926,0.5010763818654,0.503931014265173,0.75466043600077,0.827824714664813,-0.385575250350737,-0.463422381695392,-0.971219513091776,0.53458071766729,-1.14767252183156,-1.04042542792287,0.381909588219458,-3.11895021594687,-0.0556360962487668,-0.0277790556953017,0.207586996615826,0.105669551980375
"11\1\1959",-1.72114483061742,-1.53712356247613,0.0803876147378714,-0.470460726020085,0.418602837112668,0.163413366172373,0.183587502665402,-0.00608116109184685,-0.532032649641493,-0.239453496729719,-0.466308565448176,1.06424700585653,-0.841855416409335,-0.533481907385435,-1.08513593766554,-0.171728446058064,-0.148973830822743,-0.185260397319261,0.0840721059152229,-0.56786721393779
"2\1\1960",0.646873672475633,0.273631199257789,-0.000273677881783566,-0.288738534142862,-0.0659292383096373,-0.197535340806002,-1.16376752989434,-1.02259469019903,-0.249479872275267,1.00400871797627,1.43003793234355,-1.47815117745184,3.80249860210439,1.65917890563617,0.0485650407641218,3.23381741457407,0.820766478555885,-0.528368792653898,0.0781448112439986,-0.789735282050883
"5\1\1960",0.08169110521329,0.422594009204146,0.177385371685555,0.199147867242714,-0.251494714003286,-0.463139106318386,1.12601761586776,1.1059484553152,0.366141021372388,0.0964580261604036,-0.629870061407383,0.32271420239159,-0.623744068700895,-1.54384269312209,0.541845088954764,-1.86332444808774,0.125090406754823,-0.853167356671419,0.291874337474499,-0.40311140955932
"8\1\1960",1.24800110489017,1.48644347711841,0.233031453302914,1.07166935216311,-0.791009152594079,-0.87176028402975,-1.23161405443309,-0.503803352143897,-0.27517052193529,-0.574790130848436,-1.8231467155072,0.958313748218684,-0.313999667200729,-0.764505710318997,-1.91697031052357,-1.5240989230067,-0.408573771235965,-1.07233281026028,0.00975322189801175,-0.495204905155817
"11\1\1960",-1.05666860177869,-0.490760199562683,-0.0617906763670283,-0.206814912860364,-0.66729883546498,0.108930542477523,1.29487503535715,0.206874325983712,-0.700709463657313,0.655737898768612,-2.22528152978388,2.33544609751072,0.142986242499903,-2.49663014049041,-1.12697160828501,-2.01941488930007,-1.08067458289016,-1.18372706526175,0.138193348125831,-0.399598776570546
"2\1\1961",0.596136104403917,0.407084052165274,-0.249915273394512,-0.675255654798231,-0.309913474869805,-0.204345693767856,-0.998254383710024,-0.945724788472125,0.526680940535945,-0.904352856352059,-2.15575284747784,1.69984655168363,-0.448661227405771,-0.237706576796275,-1.31045932540698,-1.44016923200812,-1.52714853643885,-0.963451537021446,0.114560058735302,1.57247806034085
"5\1\1961",0.256836231664435,0.179357319506711,-0.0755745681438033,-0.331020331536355,-0.285858690983591,0.0067752480496817,-0.54077326097821,-0.596802015812291,0.33996229375032,-0.907016894058981,-0.477787209905069,0.640513975305138,2.29244903029826,1.25854226751879,0.936937736924126,1.9883162782754,-0.969916451782213,-0.892631124019345,-0.0113663512348539,0.758090457724231
"8\1\1961",-0.153006224968794,-0.237296112089789,0.22869207996578,0.863166120498729,-0.0590564429135763,0.388155013913621,0.936372055431039,1.18160414616648,-0.414119603628633,0.992654302805938,0.571868754234524,-0.736618373986898,0.895437606810062,0.956595062719197,-0.57055914720946,1.5151434855729,-0.51545661784691,-0.523629816855526,0.463704784137936,-0.109451615842552
"11\1\1961",0.352705105545007,0.112255444850824,0.0548618892253207,0.3517210006167,0.731315027633446,-0.0136558108358869,-0.565336716022625,-0.805271349687208,-0.251814142318703,0.0993979990791187,0.603102473822487,-1.79595095036539,1.11212877315761,1.44963645692736,1.69201669751288,1.70891995432791,-0.0242808531838152,-0.419373479746624,0.0954966497966945,0.498692786515835
